ts,uid,src_ip,src_port,src_mac,dst_ip,dst_port,dst_mac,proto,session_state,up_linklength,up_applength,up_pkts,down_linklength,down_applength,down_pkts
1595271960,CuvX0dvQ7EcCCfnjyw5zM,10.1.199.30,43125,74:ea:c8:28:14:01,192.168.255.9,80,00:1e:0b:ce:6e:f0,http,1,74,0,1,0,0,0
1595272257,CUv7BnU4aEGgQDVUZaHLaTl,10.1.196.27,53613,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,598,194,6,70,0,1
1595272268,CXTeHYDI0OSfGncLkKSViK4,10.1.199.248,6175,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,1073,313,14,3993,3557,8
1595272245,CD65miPuP43cQnooDSzGDVh,114.55.42.141,52223,74:ea:c8:28:14:01,10.1.196.21,82,00:1c:c4:97:da:e6,http,4,761,483,5,463,239,4
1595272244,C8Hl2HWmtRacJnyK6nhtuyh,121.10.254.33,64950,74:ea:c8:28:14:01,192.168.255.201,8010,00:23:7d:26:40:10,http,5,1034,752,5,870,696,3
1595272239,Cen0iqTfYDEibXcEzxvwzR6,10.1.199.5,55672,74:ea:c8:28:14:01,10.1.196.2,80,00:1e:0b:ce:6e:f0,http,4,1990,258,32,3499,3117,7
1595271974,CRD0O0wvzZO36z4nEmeAVRa,10.1.199.30,43599,74:ea:c8:28:14:01,192.168.255.9,80,00:1e:0b:ce:6e:f0,http,1,74,0,1,0,0,0
1595272251,CQuFk8um8D5eAn0r8Gbs4f3,10.1.196.27,58359,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,572,168,6,669,401,4
1595271953,CqgaDcblkpZeEMDAtZZPSf1,10.1.199.36,46056,74:ea:c8:28:14:01,192.168.255.8,80,00:1b:78:be:5c:40,http,1,74,0,1,0,0,0
1595272253,CiPbwENVGi45K6XZS6a7pi3,10.1.193.11,2046,74:ea:c8:28:14:01,10.1.63.102,1521,78:e7:d1:63:d3:28,unknown,3,218715,52071,3086,2689267,2523001,3079
1595272257,CsxgVoXXjgth2ab4zUNvgzg,10.1.196.27,57530,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,792,172,10,1055,919,2
1595272270,CFYJiylmhMdgceRilSon3j9,10.1.196.27,33932,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,679,167,8,671,535,2
1595272198,CkHRO2QEUUdfZDoph34krBc,10.1.193.13,40848,74:ea:c8:28:14:01,10.1.195.13,1521,00:00:00:00:00:00,oracle,4,3161,2031,17,3530,2664,13
1595272210,Cwl3SQFWiDJ3xVVZzPTu4Gk,10.1.199.248,46812,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,3859,1255,48,94694,90254,82
1595272274,C0lgHPRHyT3jNCtu339Fvo2,10.1.196.27,46762,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,575,171,6,70,0,1
1595272256,CeEb11aR8AP8Oz4RIZG1rJd,10.1.199.248,41964,00:25:90:5b:8f:d5,10.1.196.1,80,74:ea:c8:28:14:01,http,4,829,447,7,12024,11426,11
1595272271,CARIKVn3HkxjtNwzMX5cMKa,10.1.196.27,37759,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,576,172,6,669,401,4
1595272257,CD8aE2kHBoBaHsGf2K10x82,10.1.196.27,48587,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,572,168,6,669,401,4
1595272260,C80aIAC8KyKiSIpxzIq0LV1,10.1.196.27,37314,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,572,168,6,669,401,4
1595272272,C4qnjcCLyeS7vos1chwPSH1,10.1.196.27,41820,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,572,168,6,669,401,4
1595272271,CZG1sBFq8JU80EUOOqSnDIb,10.1.196.27,35170,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,683,171,8,878,742,2
1595272273,CFmQPSWCVHi8lpWDQo895Ob,10.1.196.27,38274,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,575,171,6,70,0,1
1595272270,C4RJtDSFlL54vhJwlFR6h7,10.1.196.27,48321,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,679,167,8,731,595,2
1595272272,CrOGj98PijR3ymiRjKvVW3g,10.1.199.5,41550,74:ea:c8:28:14:01,10.1.196.2,80,00:1e:0b:ce:6e:f0,http,4,867,377,9,631,465,3
1595272258,CigphXAz3OH26URxzlDofZg,10.1.196.27,49830,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,579,175,6,669,401,4
1595272271,CraQ8dpLoi88I3IyHx8HI73,10.1.196.27,49705,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,797,177,10,70,0,1
1595272273,C5IeIcNZiwLdKHXoc2RHlx1,10.1.196.27,42815,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,572,168,6,669,401,4
1595272258,Cjoz3mUlyzS1GPSiml4aNcc,10.1.196.27,38149,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,679,167,8,641,505,2
1595272247,C6os0Qo8wJH6OSo4MMLDjZa,10.1.199.5,60854,74:ea:c8:28:14:01,10.1.196.2,80,00:1e:0b:ce:6e:f0,http,5,974,268,13,2049,1883,3
1595272216,C5O8mbIku1T2U3WNczKgbG4,10.1.199.6,11315,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,4129,291,71,1626,1082,10
1595272245,CdmVIX0sao0bhg7HjagigL6,10.1.199.6,60430,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,860,424,8,183,17,3
1595272266,Ccq1z4GMVOqgycuRJuHQPT7,10.1.199.6,53984,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,963,473,9,10398,9800,11
1595272270,C4EubRSjw4GgoNbRl4EkbYk,10.1.199.6,13789,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,1042,606,8,1186,912,5
1595272258,CxcBN7aynCvdcI7n16F6VU8,10.1.199.30,50065,74:ea:c8:28:14:01,10.1.196.2,80,00:1e:0b:ce:6e:f0,http,4,356,18,5,696,420,4
1595272247,Cg9JVt96NCYaPDIxnhsPEQb,10.1.199.248,46812,00:25:90:5b:8f:d5,10.1.196.1,80,74:ea:c8:28:14:01,http,4,2082,940,21,22418,21114,24
1595272256,CbAOAyHKQKieMCTUja9SNMi,10.1.193.253,34316,00:00:00:00:00:00,10.1.191.253,1337,74:ea:c8:28:14:01,ssl,3,4670,2756,29,4730,2420,33
1595272264,CY12xa7OHMRHbkBLxNtK01,10.1.199.249,35648,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,1208,448,14,4496,4060,8
1595272251,CJdWp6KqruAcN4rQHS29QF1,10.1.196.27,51242,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,589,185,6,725,457,4
1595272243,Cv0kKuaKFNQec6Y17xYyxxf,10.1.199.5,54692,74:ea:c8:28:14:01,10.1.196.2,80,00:1e:0b:ce:6e:f0,http,4,1728,266,27,1971,1643,6
1595272256,CaAYBEQAJnj9ttLQcJTb83f,10.1.199.248,46528,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,2562,236,43,756,644,2
1595271985,C6i9HY8Bj9m9Yi18bDbtDl8,10.1.199.30,43929,74:ea:c8:28:14:01,192.168.255.9,80,00:1e:0b:ce:6e:f0,http,1,74,0,1,0,0,0
1595272262,CqqPLeZLVAY68wfLUSLOKng,10.1.199.248,41964,00:25:90:5b:8f:d5,10.1.196.1,80,74:ea:c8:28:14:01,http,4,1124,472,12,10452,9800,12
1595272259,C9Rl1hRF0bY1q9YzHo2g6Nl,10.1.196.27,54764,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,576,172,6,669,401,4
1595272247,CHB8Sh6fscO53oB4VGzXlAd,121.10.254.33,64951,74:ea:c8:28:14:01,192.168.255.201,8010,00:23:7d:26:40:10,http,5,1034,752,5,870,696,3
1595271950,ClhGUTDkfn78zpKjmKDD2e,10.1.199.30,42797,74:ea:c8:28:14:01,192.168.255.9,80,00:1e:0b:ce:6e:f0,http,1,74,0,1,0,0,0
1595272271,CZxoskF04x4g7vRbqYz22Xl,10.1.196.27,55766,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,689,177,8,70,0,1
1595271962,CAZmTnhjA3OkUbtvEQVZG22,10.1.199.30,43197,74:ea:c8:28:14:01,192.168.255.9,80,00:1e:0b:ce:6e:f0,http,1,74,0,1,0,0,0
1595272258,CC0GPW6BoSF66BDwcTGM4hl,10.1.196.27,47708,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,577,173,6,669,401,4
1595272257,CwyMEWwQWNQ5ZH9Fs46M1x3,10.1.196.27,48524,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,581,177,6,70,0,1
1595272243,CWpTA9GfeNi7IJU6mEtQACe,10.1.199.249,56712,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,1077,263,15,390,170,4
1595272260,CxSnBxWklNi5Tq1luyqBKJl,10.1.199.248,46844,00:25:90:5b:8f:d5,10.1.196.1,80,74:ea:c8:28:14:01,http,4,957,413,10,19946,19024,17
1595272253,CZ8W3gu9cpc1HU92IAXjsx,10.1.196.27,56632,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,576,172,6,669,401,4
1595272238,CjLGiugjn7r3YtnUNbZyLPb,10.1.199.248,48172,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,2426,852,29,58117,55301,52
1595272274,CdU0b3mdFgAhNhIhhVdezE7,10.1.196.27,38297,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,811,191,10,70,0,1
1595272259,Cf7slcy24gck6RZWkW02h9j,10.1.196.27,40863,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,577,173,6,669,401,4
